Handle,Post URL,Title,Date,Full Text,Post ID
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdbmugwjzc2e,Wolfers: This is the most interventionist governme,2026-01-25,"Wolfers: This is the most interventionist government of my lifetime. It’s the least conservative government of my lifetime. When you are the richest country in the world, maybe you are not the ones who should be tearing down your existing institutions. But that’s exactly what this president is doing",3mdbmugwjzc2e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdbhrvmioy2y,Reporter: You received a letter from AG  Pam Bondi,2026-01-25,Reporter: You received a letter from AG  Pam Bondi making several demands….  Walz: I would just give a pro tip to the AG. There's 2 million documents in the Epstein files we're still waiting on. Go ahead and work on those,3mdbhrvmioy2y
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdbgp5udwj23,Walz: What side do you want to be on? The side of ,2026-01-25,"Walz: What side do you want to be on? The side of an all powerful federal government that can kill, injure, menace and kidnap its citizens off the streets or on the side of a nurse at the V.A. who died bearing witness to such government ",3mdbgp5udwj23
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdb7nfgm3x2d,"Bessent: I'm sorry he is dead, but he did bring a ",2026-01-25,"Bessent: I'm sorry he is dead, but he did bring a semiautomatic weapon to what was supposed to be a peaceful protest.  Karl: There's no evidence that he brandished the gun whatsoever  Bessent: But he brought a gun!   Karl: We do have a second amendment in this country.",3mdb7nfgm3x2d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7iief2sk2l,"DA Bregman: If ICE comes in without a warrant, wit",2026-01-25,"DA Bregman: If ICE comes in without a warrant, without reasonable suspicion, without probable cause, that is false imprisonment in New Mexico. You can’t confine, restrain, or detain someone without proper legal authority to do so. And there’s no exception for law enforcement.",3md7iief2sk2l
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7hglwru22l,Minnesota AG Keith Ellison’s interview with Katie ,2026-01-25,Minnesota AG Keith Ellison’s interview with Katie Phang was interrupted and cut short because the shooting in Minneapolis happened during his appearance.,3md7hglwru22l
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7ggkdv3m2s,"AOC: If you can keep people divided, then you can ",2026-01-25,"AOC: If you can keep people divided, then you can continue to loot the economy.   They are they are trying to distract from the fact that prices have exploded, that people's health insurance is being stripped, $1 trillion out of health care to fund this violence. ",3md7ggkdv3m2s
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mdblbmafls2e,"Dandiya: So, my district—where I was born and rais",2026-01-25,"Dandiya: So, my district—where I was born and raised, District 21—has had Brian Mast in the seat since 2016.   For many years now, there’s been a growing disconnect between his leadership and the people who elected him—who he should be working for.",3mdblbmafls2e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6qzadywj2d,insane scenes coming out of Minneapolis ,2026-01-24,insane scenes coming out of Minneapolis ,3md6qzadywj2d
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md7dxveusc24,Minnesota Gun Owners Caucus on the shooting of Ale,2026-01-24,"Minnesota Gun Owners Caucus on the shooting of Alex Pretti:   “…Despite widespread speculation regarding intent, there has been no evidence produced indicating an intent to harm the officers.  We are calling for a full and transparent investigation by both state and federal authorities.“",3md7dxveusc24
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md4wceakwi26,CNN: DHS officials have come to FEMA staff and tol,2026-01-24,"CNN: DHS officials have come to FEMA staff and told them to limit the use of the word ice…they are worried that by posting something like, watch out for the ice, that it's going to become a meme…. ",3md4wceakwi26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6ps663qd2h,Minneapolis turning into a war zone,2026-01-24,Minneapolis turning into a war zone,3md6ps663qd2h
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6ps742sw2q,Protester in Minnesota: I’m 70 years old and I’m f,2026-01-24,Protester in Minnesota: I’m 70 years old and I’m fucking angry *disappears into gas*,3md6ps742sw2q
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3md562ekcsc2m,Rod Stewart calls out “draft dodger” Trump for den,2026-01-24,"Rod Stewart calls out “draft dodger” Trump for denigrating the service of allied combat vets, and says that PM Keir Starmer must insist that Trump publicly apologize.",3md562ekcsc2m
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6sjejauu2d,Sayre: My background is in international humanitar,2026-01-24,"Sayre: My background is in international humanitarian response in conflict zones …Yemen, Haiti, Syria, Iraq and Ukraine. What I've seen here is what I've seen there, a powerful entity violently and intentionally terrorizing people…. ",3md6sjejauu2d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7d3x4ghj26,Noem: This individual committed domestic terrorism,2026-01-24,Noem: This individual committed domestic terrorism. That is the facts.,3md7d3x4ghj26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7eoahvtr26,AOC: They need 10 Democratic votes in the Senate t,2026-01-24,"AOC: They need 10 Democratic votes in the Senate to pass, continued unfettered ICE funding with no guardrails. Regardless of where you are in the Democratic party, this moment proves that the status quo cannot stand   I would implore my Democratic colleagues in the senate to vote no",3md7eoahvtr26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6xpic7nf26,Walz: Minnesota's justice system will have the las,2026-01-24,"Walz: Minnesota's justice system will have the last word on this.   As I told the white house in no uncertain terms this morning, the federal government cannot be trusted to lead this investigation. The state will handle it. Period.",3md6xpic7nf26
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md4yfn2fzc2t,JD Vance affirms the argument by some that not eno,2026-01-24,JD Vance affirms the argument by some that not enough anti-abortion action has been taken by Trump,3md4yfn2fzc2t
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md6xto34e424,"Walz: Minnesotans are witnessing, and we're creati",2026-01-24,"Walz: Minnesotans are witnessing, and we're creating a log of evidence for the future prosecution of ice agents and officials responsible for this.",3md6xto34e424
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md7b3wt72t2e,Noem: This looks like a situation where an individ,2026-01-24,Noem: This looks like a situation where an individual arrived at the scene to inflict maximum damage on individuals and to kill law enforcement.,3md7b3wt72t2e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md4in7ozxs2x,Shuler: So I think your question about augmentatio,2026-01-23,"Shuler: So I think your question about augmentation versus replacement is the big question we have. If we can all agree that this is about making our jobs better, safer, easier, and more productive, then we’re all in. But if you’re looking to de-skill, dehumanize, and replace workers…",3md4in7ozxs2x
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3md4cjuzx622y,UK Armed Forces Undersecretary Alistair Carns on T,2026-01-23,"UK Armed Forces Undersecretary Alistair Carns on Trump’s statement that they stayed behind the front lines in Afghanistan: “I served 5 tours alongside Americans. We shed blood, sweat and tears together. There’s only one thing worse than working with allies - and that is working without them.”",3md4cjuzx622y
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md2r3zoz4c2o,"Today, Paris Hilton was in Congress getting suppor",2026-01-23,"Today, Paris Hilton was in Congress getting support for much needed anti-AI deepfake porn legislation.   In contrast, Trump, in 2003, said Paris Hilton is very beautiful and he met her when she was 12. Trump then said he saw her leaked sex tape and Melania showed it to him.",3md2r3zoz4c2o
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md3uaggljk2q,Trump shared a video of a Fox News guest calling h,2026-01-23,Trump shared a video of a Fox News guest calling him “daddy”,3md3uaggljk2q
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md4k3rw7a22b,Multiple clips of Donald Trump promising to lower ,2026-01-23,Multiple clips of Donald Trump promising to lower electricity bills and energy prices by 50% within one year of retaking office.   It has been a year. Is your energy bill half of what it was 12 months ago?,3md4k3rw7a22b
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md4hwq3l2s2v,Shuler: The economy isn’t working for working peop,2026-01-23,"Shuler: The economy isn’t working for working people right now. We have inequality at its highest levels. People are working harder and harder for less. They’re working two and three jobs just to keep up. In the U.S., 40 percent of workers do not have $400 for an emergency  Now put AI on top of that",3md4hwq3l2s2v
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md4let3zhs2b,Trump shared an AI-generated video showing an Indy,2026-01-23,Trump shared an AI-generated video showing an IndyCar race surrounding the Capitol Building,3md4let3zhs2b
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3md4agq67pk2d,UK PM Keir Starmer reacts to Cadet Bone Spurs clai,2026-01-23,"UK PM Keir Starmer reacts to Cadet Bone Spurs claiming that allied troops stayed back behind the front lines in Afghanistan to avoid combat: “457 of our armed services lost their lives, many more were injured. So I consider Trump’s remarks to be insulting and apalling.”",3md4agq67pk2d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md4ohidtzk2m,Kinzinger: I saw a stupid post with a picture of T,2026-01-23,"Kinzinger: I saw a stupid post with a picture of The Art of the Deal, saying, “If you want to understand Donald Trump…” blah blah blah. And I’m like, actually, if you want to understand Donald Trump, we need the rest of the Epstein files.",3md4ohidtzk2m
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2hgscq2s23,Goldman: It’s shocking to me how much the media ta,2026-01-23,Goldman: It’s shocking to me how much the media talked about Biden’s mental state and are not talking about Donald Trump. He can barely put a coherent sentence together. You have someone who is clearly not all there,3md2hgscq2s23
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md4bz7g4mb2g,Johnson: I was the product of an unplanned teen pr,2026-01-23,Johnson: I was the product of an unplanned teen pregnancy and a lot of people tried to convince my young parents that they should take care of that problem,3md4bz7g4mb2g
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md4hkthjds2v,Shuler: Are we now saying that this is what we’re ,2026-01-23,"Shuler: Are we now saying that this is what we’re getting to, that an athlete can’t use professional judgment without an AI system evaluating them at every turn and saying whether they made the right decision to make a pass to this player or that player?",3md4hkthjds2v
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2hvwvpp223,Frost: Any person who sees the president in his sp,2026-01-23,Frost: Any person who sees the president in his speeches blabbering incoherently knows that there is something bigger going on there.,3md2hvwvpp223
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2ryzpuw22p,"Healey: Whether it’s ballrooms, or masked agents, ",2026-01-23,"Healey: Whether it’s ballrooms, or masked agents, or attacks on Europe and Greenland…This is not normal. It’s not normal to have somebody who acts like a two-year-old throwing a tantrum. On any given day, we don’t know what he’s going to do.  This shouldn’t be normalized. It’s not right.",3md2ryzpuw22p
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2vduvp422p,"Jens-Frederik Nielsen, Prime Minister of Greenland",2026-01-23,"Jens-Frederik Nielsen, Prime Minister of Greenland: First of all, nobody other than Greenland and the Kingdom of Denmark have the mandate to make deals or agreements about Greenland and the Kingdom of Denmark without us. That’s not going to happen.",3md2vduvp422p
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2veysyh22p,"Jens-Frederik Nielsen, Prime Minister of Greenland",2026-01-23,"Jens-Frederik Nielsen, Prime Minister of Greenland: Sovereignty is a red line. Our integrity, our borders, and international law are definitely, definitely a red line that we don’t want anyone to cross.",3md2veysyh22p
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2vhdxno22p,Canadian PM Carney: Canada and the United States h,2026-01-23,"Canadian PM Carney: Canada and the United States have built a remarkable partnership in the economy, in security, and in rich cultural exchange. But Canada doesn’t live because of the United States. Canada thrives because we are Canadian.",3md2vhdxno22p
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3mczsrh2q3s2i,Mike Fanone and Ivan Raiklin get into it at the Ja,2026-01-22,Mike Fanone and Ivan Raiklin get into it at the Jack Smith hearing.,3mczsrh2q3s2i
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2d6wf2ps2w,Popok: There are many things the American public w,2026-01-22,"Popok: There are many things the American public will tolerate, including an ideological divide in our politics, but a heartless president—I don’t think that’s one of them  Shapiro: A heartless president that leads to hungry kids. His heartlessness is leading to a level of cruelty in our communities",3md2d6wf2ps2w
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2dozd6jk23,"AOC: An agency that is attacking U.S. citizens, ki",2026-01-22,"AOC: An agency that is attacking U.S. citizens, kidnapping five-year-olds and using them as bait, and privately circulating the idea that they can violate the rights of Americans by busting down their doors—they deserve to be defunded, and I’ll take any step in that direction.",3md2dozd6jk23
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3md2edr75ny2s,Reporter: We saw the bruising on your hand. Are yo,2026-01-22,Reporter: We saw the bruising on your hand. Are you okay?  Trump: I’m very good. I clipped it on the table.,3md2edr75ny2s
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxvpgwkgk2d,Johnson: I have no intention of getting in the way,2026-01-22,Johnson: I have no intention of getting in the way of President Trump and his administration. He has used the tariff power that he has under Article II. He has not exceeded his authority. There is no reason for the Article I branch to intervene.,3mcxvpgwkgk2d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcyarddiv42e,Sellers: You all gave Obama hell because wore a br,2026-01-22,Sellers: You all gave Obama hell because wore a brown suit. But yet and still this man comes on stage in front of the world and he rambles and he misspeaks… he could have said that we solved the war between wakanda and namor. Republicans would have been like I'm glad we stopped that African country.,3mcyarddiv42e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mczpiwyq4g26,"Swalwell: My Republican colleagues, are a joke. Th",2026-01-22,"Swalwell: My Republican colleagues, are a joke. These guys are so lucky they're not under oath because they would have to tell you what they really think of Trump. They call him a scumbag. Everyone remembers Matt Gaetz laughing at how stupid he thought Trump was.",3mczpiwyq4g26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mczpwspacx2d,Lieu: How scared are Republicans of talking about ,2026-01-22,Lieu: How scared are Republicans of talking about the Epstein files? They would rather talk about the criminality of Donald Trump in trying to steal the election and stealing classified documents than about Trump's associations with Epstein,3mczpwspacx2d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mczvborods2b,"Smith: Again, and I think all of us, if we're reas",2026-01-22,"Smith: Again, and I think all of us, if we're reasonable, know that there's going to be more crimes committed by these people in the future. I do not understand why you would mass pardon people who assaulted police officers. I don't get it. I never will.",3mczvborods2b
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mczvkh62mo26,Nehls: I would like to quickly address the police ,2026-01-22,Nehls: I would like to quickly address the police officers from January 6th. And I can tell you that the fault does not lie with Donald Trump. It lies with the US capitol leadership team.  Fanone: *Coughs: Go fuck yourself*,3mczvkh62mo26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mczytsjtu42e,"Vance: If we're trying to find a sex offender, tel",2026-01-22,"Vance: If we're trying to find a sex offender, tell us where the guy lives.",3mczytsjtu42e
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3md2bclfnjk2a,Erika Kirk called the protests against ICE and Tru,2026-01-22,Erika Kirk called the protests against ICE and Trump “demonic”,3md2bclfnjk2a
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcwudiikfs2z,"Trump, on the world stage at Davos, is having diff",2026-01-21,"Trump, on the world stage at Davos, is having difficulty walking in a straight line again",3mcwudiikfs2z
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxasxeyqp2y,Trump: Sometimes you need a dictator,2026-01-21,Trump: Sometimes you need a dictator,3mcxasxeyqp2y
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxe5lkars2o,"McGovern: Well, he said a lot of crazy shit today.",2026-01-21,"McGovern: Well, he said a lot of crazy shit today. I think it’s time to take the keys away from grandpa. He doesn’t seem like he’s all there.",3mcxe5lkars2o
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxmgmm6zr2g,Ryan: I think the clear thing is the president is ,2026-01-21,"Ryan: I think the clear thing is the president is failing and flailing all across the board. And this is another attempt. He can't even get the country's name right, for goodness sakes, which is just pathetic.",3mcxmgmm6zr2g
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxpf6wlau26,.@PabloReports: Do you think that Renee Good and h,2026-01-21,".@PabloReports: Do you think that Renee Good and her wife are domestic terrorists, like Noem has suggested?  Burchett: I guess we’ll find that out in a court of law.",3mcxpf6wlau26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxpiejqd524,.@PabloReports: How big of a factor is Trump’s men,2026-01-21,".@PabloReports: How big of a factor is Trump’s mental decline after what he has been saying in Davos?  Beyer: It’s very significant. Sadly, cognitive decline doesn’t get better. It’s only going to get worse in the weeks to come.",3mcxpiejqd524
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxpshxuip2u,Crow: I’m concerned about the president destroying,2026-01-21,"Crow: I’m concerned about the president destroying our alliances, destroying our economy, destroying working class Americans' livelihoods… this president is destroying everything that he touches ",3mcxpshxuip2u
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxpx2grt72e,.@PabloReports: What do you make of Trump’s cognit,2026-01-21,.@PabloReports: What do you make of Trump’s cognitive decline?  Crockett: I honestly don’t think he was equipped to be sworn into office in the first place. ,3mcxpx2grt72e
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxqyozis22d,AOC: The president has been acting in increasingly,2026-01-21,"AOC: The president has been acting in increasingly erratic ways. It is really damning when we think about the degree to which media outlets reported on Joe Biden, yet we are seeing behavior from Trump that is alarming and everyone is pretending this is normal.",3mcxqyozis22d
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxrkxrhrn26,Ryan: I've said it from the beginning: this is jus,2026-01-21,"Ryan: I've said it from the beginning: this is just a straight up un-American thing, anytime in our history that we've done things like this, we've looked back and said we lost our way, and they're doing it again.",3mcxrkxrhrn26
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxrl2aqxc2s,Ryan: The fact that he couldn’t even get the name ,2026-01-21,Ryan: The fact that he couldn’t even get the name of the country right that he was saying he wanted to invade… his cognitive decline is well documented but that can’t be at the expense of my constituents and the people in uniform. ,3mcxrl2aqxc2s
acyn.bsky.social,https://bsky.app/profile/acyn.bsky.social/post/3mcxuji5qqk2d,Renee Good Family’s Lawyer: We gave the federal go,2026-01-21,Renee Good Family’s Lawyer: We gave the federal government a letter of preservation last week. We asked them to preserve that vehicle to make sure that it’s stored in a safe manner so that none of the evidence gets altered…That is an example of one piece of evidence that we don’t have access to.,3mcxuji5qqk2d
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3mcsxanrmu22q,I always thought MLK’s ‘Mountaintop’ speech was hi,2026-01-20,"I always thought MLK’s ‘Mountaintop’ speech was his best, which was given the day before he was killed. It is especially relevant given what is happening now in MN and elsewhere. He was getting many serious threats, which he references in his line “I may not get there with you.”",3mcsxanrmu22q
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcutczv2yk2c,"Unconfirmed Trump official Paul Ingrassia, who GOP",2026-01-20,"Unconfirmed Trump official Paul Ingrassia, who GOP senators rejected due to hateful comments, interacting with the humanoid Phantom Mark 1 robot at Foundation’s San Francisco headquarters.  Wall visuals describe the robots as “killers by design” and mention working with the DoD.",3mcutczv2yk2c
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcsj3f5ask2d,A fashion show at Mar-a-Lago accompanied by a live,2026-01-19,"A fashion show at Mar-a-Lago accompanied by a live opera singer.   Meanwhile, Trump has cut fine arts funding and increased the price of clothing.",3mcsj3f5ask2d
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcsajoz5ks23,Trump golfing yesterday during his 4 day Palm Beac,2026-01-19,Trump golfing yesterday during his 4 day Palm Beach trip. These golf trips add up costing taxpayers millions.  Why doesn’t the GOP cut these trips instead of food stamps for poor children?,3mcsajoz5ks23
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcnsxoypu223,Trump waiving to guests at Mar-a-Lago today. He’s ,2026-01-17,Trump waiving to guests at Mar-a-Lago today. He’s enjoying a 4 day weekend in Palm Beach as Americans continue to experience economic hardships.,3mcnsxoypu223
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mckyxc5dx22b,Lindsey Graham: “The pro life cause is alive and w,2026-01-16,"Lindsey Graham: “The pro life cause is alive and well in the Republican-controlled House and Senate, and we’re going to speak up.  And I’ve been talking about killing people for four days, so I look forward to talking about saving some lives here.”",3mckyxc5dx22b
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3mck6fwurn22o,Jimmy Kimmel offers to let Trump have one of his t,2026-01-16,Jimmy Kimmel offers to let Trump have one of his trophies if he will pull ICE out of Minneapolis.,3mck6fwurn22o
ronfilipkowski.bsky.social,https://bsky.app/profile/ronfilipkowski.bsky.social/post/3mckjylyvjs2z,Mike Lindell lays out his platform for his MN gove,2026-01-16,Mike Lindell lays out his platform for his MN governor campaign. He says he will ban Sharia Law on day one and arrest all the people protesting ICE because they’re all being bussed in and aren’t from MN.,3mckjylyvjs2z
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcfgxvczd22x,“Let them eat cake”— Entertainers wearing dog mask,2026-01-14,“Let them eat cake”— Entertainers wearing dog masks and Rococo-era 18th-century European aristocratic court costumes danced for Mar-a-Lago guests at a party this weekend,3mcfgxvczd22x
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcdf4rfd3c22,Entertainers dancing at Trump’s Mar-a-Lago home th,2026-01-13,Entertainers dancing at Trump’s Mar-a-Lago home this weekend. One guest at the end really enjoyed himself.,3mcdf4rfd3c22
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcdqknk6k22e,Trump rambling about landing on an aircraft carrie,2026-01-13,Trump rambling about landing on an aircraft carrier to his Mar-a-Lago guests,3mcdqknk6k22e
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcdp65n3js2e,Pro-Trump pastors at the White House singing “How ,2026-01-13,Pro-Trump pastors at the White House singing “How Great Thou Art” as Trump continues terrorizing and breaking up migrant families,3mcdp65n3js2e
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcdlsvbdfc2e,"Amazing, a Ford worker called Trump a “pedophile p",2026-01-13,"Amazing, a Ford worker called Trump a “pedophile protector” during his visit to an assembly plant in Michigan today.  In return, Trump, who has failed to release the Epstein files, yelled, “fuck you” and flipped off the worker.",3mcdlsvbdfc2e
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcbe7j43zs2o,Have missed the entire point of the Star Trek fran,2026-01-13,"Have missed the entire point of the Star Trek franchise, Pete Hegseth made the Vulcan hand symbol while standing next to Elon Musk today in Texas",3mcbe7j43zs2o
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mccm5k7mns2o,A buffet line at Trump’s golf club as his administ,2026-01-13,A buffet line at Trump’s golf club as his administration cuts meals for elementary students,3mccm5k7mns2o
patriottakes.bsky.social,https://bsky.app/profile/patriottakes.bsky.social/post/3mcctjwpbrc2d,DHS defended an ICE agent caught following a handc,2026-01-13,DHS defended an ICE agent caught following a handcuffed migrant into a porta-potty in Minnesota.  The agency said their “policy is to never allow a subject in custody to enter an enclosed area alone” and claimed the migrant was a man.  Video: MN ICE Watch (IG: mnicewatch),3mcctjwpbrc2d
